ZIP,STATE,CITY,COUNTY,POPULATION
77494,Texas,Katy,Fort Bend County,"140,157"
8701,New Jersey,Lakewood,Ocean County,"139,149"
77449,Texas,Katy,Harris County,"130,028"
78660,Texas,Pflugerville,Travis County,"124,834"
77433,Texas,Cypress,Harris County,"116,550"
77084,Texas,Houston,Harris County,"110,217"
60629,Illinois,Chicago,Cook County,"108,324"
11368,New York,Corona,Queens County,"105,716"
92336,California,Fontana,San Bernardino County,"105,517"
11208,New York,Brooklyn,Kings County,"105,428"
37013,Tennessee,Antioch,Davidson County,"105,212"
78130,Texas,New Braunfels,Guadalupe County,"104,009"
79936,Texas,El Paso,El Paso County,"102,991"
11385,New York,Ridgewood,Queens County,"101,704"
30044,Georgia,Lawrenceville,Gwinnett County,"101,475"
34787,Florida,Winter Garden,Orange County,"101,441"
94565,California,Pittsburg,Contra Costa County,"100,488"
90011,California,Los Angeles,Los Angeles County,"100,113"
90650,California,Norwalk,Los Angeles County,"99,900"
78641,Texas,Leander,Travis County,"99,865"
79938,Texas,El Paso,El Paso County,"99,621"
11373,New York,Elmhurst,Queens County,"98,403"
77573,Texas,League City,Galveston County,"98,109"
91331,California,Pacoima,Los Angeles County,"97,608"
92335,California,Fontana,San Bernardino County,"97,511"
75052,Texas,Grand Prairie,Dallas County,"97,278"
10467,New York,Bronx,Bronx County,"96,421"
77429,Texas,Cypress,Harris County,"96,334"
78245,Texas,San Antonio,Bexar County,"96,015"
11226,New York,Brooklyn,Kings County,"95,144"
90044,California,Los Angeles,Los Angeles County,"94,830"
11219,New York,Brooklyn,Kings County,"94,196"
10314,New York,Staten Island,Richmond County,"93,915"
90250,California,Hawthorne,Los Angeles County,"93,826"
85142,Arizona,Queen Creek,Pinal County,"93,700"
91342,California,Sylmar,Los Angeles County,"93,301"
11207,New York,Brooklyn,Kings County,"93,198"
10025,New York,New York,New York County,"93,065"
11206,New York,Brooklyn,Kings County,"93,020"
90201,California,Bell Gardens,Los Angeles County,"92,763"
90805,California,Long Beach,Los Angeles County,"92,402"
926,Puerto Rico,San Juan,San Juan Municipio,"92,284"
77479,Texas,Sugar Land,Fort Bend County,"92,221"
60618,Illinois,Chicago,Cook County,"91,901"
11221,New York,Brooklyn,Kings County,"91,588"
90280,California,South Gate,Los Angeles County,"91,365"
77584,Texas,Pearland,Brazoria County,"91,065"
73099,Oklahoma,Yukon,Canadian County,"91,014"
11220,New York,Brooklyn,Kings County,"90,652"
78613,Texas,Cedar Park,Williamson County,"89,956"
92683,California,Westminster,Orange County,"89,833"
75035,Texas,Frisco,Collin County,"89,682"
78542,Texas,Edinburg,Hidalgo County,"89,401"
11214,New York,Brooklyn,Kings County,"89,397"
60632,Illinois,Chicago,Cook County,"89,107"
11212,New York,Brooklyn,Kings County,"89,020"
92345,California,Hesperia,San Bernardino County,"88,706"
78666,Texas,San Marcos,Hays County,"88,583"
92503,California,Riverside,Riverside County,"88,395"
84043,Utah,Lehi,Utah County,"88,390"
77407,Texas,Richmond,Fort Bend County,"88,319"
30024,Georgia,Suwanee,Gwinnett County,"88,067"
11236,New York,Brooklyn,Kings County,"88,051"
30043,Georgia,Lawrenceville,Gwinnett County,"87,929"
37042,Tennessee,Clarksville,Montgomery County,"87,652"
10456,New York,Bronx,Bronx County,"87,533"
78521,Texas,Brownsville,Cameron County,"87,380"
99301,Washington,Pasco,Franklin County,"87,044"
11230,New York,Brooklyn,Kings County,"86,978"
34953,Florida,Port Saint Lucie,St. Lucie County,"86,875"
79928,Texas,El Paso,El Paso County,"86,599"
93722,California,Fresno,Fresno County,"86,110"
93307,California,Bakersfield,Kern County,"85,945"
91911,California,Chula Vista,San Diego County,"85,542"
77379,Texas,Spring,Harris County,"85,190"
75217,Texas,Dallas,Dallas County,"85,028"
75126,Texas,Forney,Kaufman County,"84,799"
60647,Illinois,Chicago,Cook County,"84,749"
92376,California,Rialto,San Bernardino County,"84,394"
60639,Illinois,Chicago,Cook County,"84,240"
77459,Texas,Missouri City,Fort Bend County,"84,221"
93727,California,Fresno,Fresno County,"84,107"
95747,California,Roseville,Placer County,"83,902"
96706,Hawaii,Ewa Beach,Honolulu County,"83,692"
95823,California,Sacramento,Sacramento County,"83,607"
92804,California,Anaheim,Orange County,"83,537"
11234,New York,Brooklyn,Kings County,"83,187"
27587,North Carolina,Wake Forest,Wake County,"82,886"
95076,California,Watsonville,Santa Cruz County,"82,806"
60804,Illinois,Cicero,Cook County,"82,797"
76063,Texas,Mansfield,Tarrant County,"82,625"
30040,Georgia,Cumming,Forsyth County,"82,532"
92704,California,Santa Ana,Orange County,"82,120"
11233,New York,Brooklyn,Kings County,"81,822"
28027,North Carolina,Concord,Cabarrus County,"81,772"
11377,New York,Woodside,Queens County,"81,690"
22193,Virginia,Woodbridge,Prince William County,"81,588"
76028,Texas,Burleson,Johnson County,"81,549"
27610,North Carolina,Raleigh,Wake County,"81,419"
60623,Illinois,Chicago,Cook County,"81,277"
92509,California,Jurupa Valley,Riverside County,"81,182"
11355,New York,Flushing,Queens County,"80,801"
60608,Illinois,Chicago,Cook County,"80,737"
98052,Washington,Redmond,King County,"80,717"
93550,California,Palmdale,Los Angeles County,"80,645"
78577,Texas,Pharr,Hidalgo County,"80,540"
93257,California,Porterville,Tulare County,"80,467"
92154,California,San Diego,San Diego County,"80,445"
92563,California,Murrieta,Riverside County,"80,379"
80134,Colorado,Parker,Douglas County,"80,302"
76179,Texas,Fort Worth,Tarrant County,"80,090"
92592,California,Temecula,Riverside County,"80,035"
93274,California,Tulare,Tulare County,"80,026"
30349,Georgia,Atlanta,Fulton County,"79,872"
30052,Georgia,Loganville,Walton County,"79,811"
11204,New York,Brooklyn,Kings County,"79,800"
28269,North Carolina,Charlotte,Mecklenburg County,"79,586"
10457,New York,Bronx,Bronx County,"79,543"
77346,Texas,Humble,Harris County,"79,538"
95630,California,Folsom,Sacramento County,"79,484"
93535,California,Lancaster,Los Angeles County,"79,409"
94112,California,San Francisco,San Francisco County,"79,277"
37128,Tennessee,Murfreesboro,Rutherford County,"79,268"
66062,Kansas,Olathe,Johnson County,"78,841"
79912,Texas,El Paso,El Paso County,"78,819"
95035,California,Milpitas,Santa Clara County,"78,810"
94533,California,Fairfield,Solano County,"78,805"
91710,California,Chino,San Bernardino County,"78,754"
93033,California,Oxnard,Ventura County,"78,737"
11235,New York,Brooklyn,Kings County,"78,558"
11229,New York,Brooklyn,Kings County,"78,377"
11223,New York,Brooklyn,Kings County,"78,093"
78572,Texas,Mission,Hidalgo County,"78,024"
91709,California,Chino Hills,San Bernardino County,"78,006"
78254,Texas,San Antonio,Bexar County,"77,893"
30041,Georgia,Cumming,Forsyth County,"77,664"
78640,Texas,Kyle,Hays County,"77,531"
10029,New York,New York,New York County,"77,447"
89031,Nevada,North Las Vegas,Clark County,"77,305"
91910,California,Chula Vista,San Diego County,"77,123"
98012,Washington,Bothell,Snohomish County,"77,041"
33025,Florida,Hollywood,Broward County,"76,967"
94544,California,Hayward,Alameda County,"76,947"
91744,California,La Puente,Los Angeles County,"76,942"
10002,New York,New York,New York County,"76,873"
33411,Florida,West Palm Beach,Palm Beach County,"76,863"
11375,New York,Forest Hills,Queens County,"76,839"
90706,California,Bellflower,Los Angeles County,"76,819"
77845,Texas,College Station,Brazos County,"76,764"
60625,Illinois,Chicago,Cook County,"76,760"
76244,Texas,Keller,Tarrant County,"76,728"
33024,Florida,Hollywood,Broward County,"76,585"
37211,Tennessee,Nashville,Davidson County,"76,573"
10462,New York,Bronx,Bronx County,"76,320"
10453,New York,Bronx,Bronx County,"76,282"
97229,Oregon,Portland,Washington County,"76,106"
92126,California,San Diego,San Diego County,"76,059"
83646,Idaho,Meridian,Ada County,"76,023"
45011,Ohio,Hamilton,Butler County,"75,864"
10452,New York,Bronx,Bronx County,"75,682"
10468,New York,Bronx,Bronx County,"75,557"
87121,New Mexico,Albuquerque,Bernalillo County,"75,510"
85326,Arizona,Buckeye,Maricopa County,"75,359"
47906,Indiana,West Lafayette,Tippecanoe County,"75,198"
23464,Virginia,Virginia Beach,Virginia Beach city,"75,061"
75002,Texas,Allen,Collin County,"75,057"
92880,California,Eastvale,Riverside County,"75,043"
32259,Florida,Saint Johns,St. Johns County,"75,016"
63376,Missouri,Saint Peters,St. Charles County,"74,962"
10458,New York,Bronx,Bronx County,"74,898"
33311,Florida,Fort Lauderdale,Broward County,"74,898"
33647,Florida,Tampa,Hillsborough County,"74,844"
11203,New York,Brooklyn,Kings County,"74,817"
60617,Illinois,Chicago,Cook County,"74,790"
92805,California,Anaheim,Orange County,"74,661"
92553,California,Moreno Valley,Riverside County,"74,640"
84096,Utah,Herriman,Salt Lake County,"74,603"
91335,California,Reseda,Los Angeles County,"74,526"
85383,Arizona,Peoria,Maricopa County,"74,390"
93306,California,Bakersfield,Kern County,"74,116"
60634,Illinois,Chicago,Cook County,"73,885"
28277,North Carolina,Charlotte,Mecklenburg County,"73,882"
22191,Virginia,Woodbridge,Prince William County,"73,623"
75211,Texas,Dallas,Dallas County,"73,534"
93065,California,Simi Valley,Ventura County,"73,534"
37075,Tennessee,Hendersonville,Sumner County,"73,522"
725,Puerto Rico,Caguas,Caguas Municipio,"73,462"
93536,California,Lancaster,Los Angeles County,"73,412"
6902,Connecticut,Stamford,Western Connecticut Planning Region,"73,392"
80013,Colorado,Aurora,Arapahoe County,"73,248"
77083,Texas,Houston,Harris County,"73,230"
75071,Texas,Mckinney,Collin County,"72,964"
85364,Arizona,Yuma,Yuma County,"72,960"
78046,Texas,Laredo,Webb County,"72,951"
32218,Florida,Jacksonville,Duval County,"72,905"
89108,Nevada,Las Vegas,Clark County,"72,814"
85281,Arizona,Tempe,Maricopa County,"72,762"
75068,Texas,Little Elm,Denton County,"72,710"
96797,Hawaii,Waipahu,Honolulu County,"72,435"
20002,District of Columbia,Washington,District of Columbia,"72,397"
33023,Florida,Hollywood,Broward County,"72,344"
60085,Illinois,Waukegan,Lake County,"72,341"
80015,Colorado,Aurora,Arapahoe County,"72,316"
77375,Texas,Tomball,Harris County,"72,311"
85225,Arizona,Chandler,Maricopa County,"72,297"
7305,New Jersey,Jersey City,Hudson County,"72,161"
11218,New York,Brooklyn,Kings County,"72,042"
77450,Texas,Katy,Harris County,"71,906"
60657,Illinois,Chicago,Cook County,"71,904"
84015,Utah,Clearfield,Davis County,"71,812"
77036,Texas,Houston,Harris County,"71,770"
30096,Georgia,Duluth,Gwinnett County,"71,732"
92407,California,San Bernardino,San Bernardino County,"71,711"
46307,Indiana,Crown Point,Lake County,"71,673"
28078,North Carolina,Huntersville,Mecklenburg County,"71,657"
30127,Georgia,Powder Springs,Cobb County,"71,626"
91730,California,Rancho Cucamonga,San Bernardino County,"71,613"
30281,Georgia,Stockbridge,Henry County,"71,603"
10977,New York,Spring Valley,Rockland County,"71,571"
7002,New Jersey,Bayonne,Hudson County,"71,553"
77493,Texas,Katy,Harris County,"71,484"
33033,Florida,Homestead,Miami-Dade County,"71,458"
92105,California,San Diego,San Diego County,"71,411"
10466,New York,Bronx,Bronx County,"71,116"
91706,California,Baldwin Park,Los Angeles County,"71,082"
33012,Florida,Hialeah,Miami-Dade County,"71,017"
11209,New York,Brooklyn,Kings County,"71,004"
19124,Pennsylvania,Philadelphia,Philadelphia County,"71,004"
85032,Arizona,Phoenix,Maricopa County,"70,839"
94568,California,Dublin,Alameda County,"70,803"
60614,Illinois,Chicago,Cook County,"70,693"
10701,New York,Yonkers,Westchester County,"70,676"
11201,New York,Brooklyn,Kings County,"70,674"
94536,California,Fremont,Alameda County,"70,619"
33157,Florida,Miami,Miami-Dade County,"70,596"
20906,Maryland,Silver Spring,Montgomery County,"70,595"
