"Search Location","Name","Ratings","Best Services","Remarks","Shop Address","Website","Phone"
"Katy, Texas 77494","Phone Repairs n More - Katy (iPhone repair, Samsung repair, iPad repair, Computer repair)","5 (479)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Katy, TX","N/A","(346) 743-0390"
"Katy, Texas 77494","My Wireless Cell phone Repair - Katy Texas (iPhone repair, Samsung repair, iPad repair, iPhone screen, tablet, laptop)","5 (586)","[Screen Repair, iPhone Repair, Samsung Repair]","Quality Repairs","Katy, TX","N/A","(281) 396-4337"
"Katy, Texas 77494","Houston Phone Doctors - West (We Come To You)","4.9 (431)","[Battery Replacement, Screen Repair, Quick Repair]","Fast Service","Katy, TX","N/A","(832) 965-7880"
"Katy, Texas 77494","XG Cell Phone Repair - Katy, Texas | (iPhone, iPad & Apple Watch Repair)","4.9 (750)","[Screen Repair, Battery Replacement, Apple Watch Repair]","Fast Service","Katy, TX","N/A","(832) 974-4967"
"Katy, Texas 77494","Techy Katy - Fast, Reliable & Affordable Electronics Repair","4.9 (477)","[Screen Repair, Phone Repair, Back Housing Repair]","Fast Service","Katy, TX","N/A","(346) 848-2639"
"Lakewood, New Jersey 8701","JS phone repair","5 (624)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brick Township, NJ","N/A","(732) 551-9960"
"Lakewood, New Jersey 8701","CPR Cell Phone Repair","4.8 (335)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Howell Township, NJ","N/A","(732) 534-9965"
"Lakewood, New Jersey 8701","The iFix","4.8 (416)","[Screen Repair, Back Replacement, Phone Repair]","Quality Repairs","Eatontown, NJ","N/A","(732) 804-3815"
"Lakewood, New Jersey 8701","Boost Mobile","4.6 (316)","[Prepaid Plans, Phone Sales, Activation]","Budget Friendly","Lakewood, NJ","N/A","(732) 987-9080"
"Katy, Texas 77449","Phone Repairs n More - Katy (iPhone repair, Samsung repair, iPad repair, Computer repair)","5 (479)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Katy, TX","N/A","(346) 743-0390"
"Katy, Texas 77449","My Wireless Cell phone Repair - Katy Texas (iPhone repair, Samsung repair, iPad repair, iPhone screen, tablet, laptop)","5 (586)","[Screen Repair, iPhone Repair, Samsung Repair]","Quality Repairs","Katy, TX","N/A","(281) 396-4337"
"Katy, Texas 77449","XG Cell Phone Repair - Katy, Texas | (iPhone, iPad & Apple Watch Repair)","4.9 (750)","[Screen Repair, Battery Replacement, Apple Watch Repair]","Fast Service","Katy, TX","N/A","(832) 974-4967"
"Katy, Texas 77449","Houston Phone Doctors - West (We Come To You)","4.9 (431)","[Battery Replacement, Screen Repair, Quick Repair]","Fast Service","Katy, TX","N/A","(832) 965-7880"
"Katy, Texas 77449","Techy Katy - Fast, Reliable & Affordable Electronics Repair","4.9 (477)","[Screen Repair, Phone Repair, Back Housing Repair]","Fast Service","Katy, TX","N/A","(346) 848-2639"
"Pflugerville, Texas 78660","TECH PFIX","4.9 (568)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Pflugerville, TX","N/A","(512) 788-3276"
"Pflugerville, Texas 78660","Cellairis Phone Repair Inside Walmart - Pflugerville","4.9 (657)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Pflugerville, TX","N/A","(512) 797-4072"
"Pflugerville, Texas 78660","CellFix79 - Cell Phone Repair Round Rock","4.9 (819)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Round Rock, TX","N/A","(512) 605-1969"
"Pflugerville, Texas 78660","T-Mobile","3.6 (405)","[Phone Setup, Plan Activation, Device Upgrade]","Helpful Staff","Pflugerville, TX","N/A","(512) 990-0529"
"Cypress, Texas 77433","Tech Repair Fairfield - iPhones Repair / Android Phones Repair & Computer - Tablets Repairs - (INSIDE HEB) FREE ESTIMATES","5 (2100)","[Screen Repair, Battery Replacement, Water Damage]","Highly Recommended","Cypress, TX","N/A","(281) 758-5899"
"Cypress, Texas 77433","Techy Cypress","5 (2200)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","Cypress, TX","N/A","(682) 704-6424"
"Cypress, Texas 77433","Tech Repair Cypress - iPhones Repair / Android Phones Repair & Computer Repair - Tablets Repair (inside HEB) FREE ESTIMATES","5 (437)","[Screen Repair, Battery Replacement, Computer Repair]","Fast Service","Cypress, TX","N/A","(346) 337-2343"
"Cypress, Texas 77433","Tech Savvy Cell Phone & Computer Repair - Barker Cypress (OUTSIDE HEB)","4.9 (2300)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Cypress, TX","N/A","(281) 256-7443"
"Cypress, Texas 77433","Fix Zone - Cell Phone & Computer Fix","4.8 (623)","[Screen Repair, Back Glass Repair, Same-Day Service]","Fast Service","Cypress, TX","N/A","(346) 424-8465"
"Houston, Texas 77084","CPR Cell Phone Repair","4.9 (761)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable Repairs","5630 N Eldridge Pkwy #600","N/A","(832) 645-4428"
"Houston, Texas 77084","MacN'Droid Copperfield","4.9 (688)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Service","6608 Hwy 6 N SUITE D","N/A","(346) 808-0948"
"Houston, Texas 77084","Device Fix Cell phones Repair & Computers Repair - Tablet Repair FREE Estimate","4.9 (563)","[Screen Repair, Battery Replacement, iPhone Repair]","Fair Pricing","16038 West Rd","N/A","(832) 427-6087"
"Houston, Texas 77084","Maks mobile, Cell Phone Repair, Laptops, Tablet, Computers","4.9 (450)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","9101 Hwy 6 N","N/A","(713) 340-9900"
"Houston, Texas 77084","Quick Fixx - iPhone Repair (We Buy Phones)","4.9 (460)","[Screen Repair, Battery Replacement, iPhone Purchase]","Fast Service","13710 Northwest Fwy","N/A","(281) 797-8920"
"Chicago, Illinois 60629","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Chicago, Illinois 60629","Unlocked phone repair","4.9 (441)","[Screen Repair, Fast Repair, Phone 11 Repair]","Fast Service","Chicago, IL","N/A","(773) 426-0427"
"Chicago, Illinois 60629","Chicago Cell Phone Repair","4.9 (866)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Chicago, IL","N/A","(773) 497-7421"
"Chicago, Illinois 60629","Cell N Comp Repairs","4.9 (1300)","[iPhone Repair, Water Damage Repair, Screen Repair]","Fast Service","Chicago, IL","N/A","(773) 942-4329"
"Chicago, Illinois 60629","All Day iFix","4.9 (593)","[Screen Repair, iPhone Repair, Mobile Repair]","Friendly Service","Chicago, IL","N/A","(773) 244-8177"
"Corona, New York 11368","The FIX - Queens Center","4.8 (1100)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Elmhurst, NY","N/A","(646) 818-1168"
"Corona, New York 11368","uBreakiFix - Phone and Computer Repair","4.8 (849)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Corona, CA","N/A","(951) 393-6770"
"Corona, New York 11368","uBreakiFix - Phone and Computer Repair","4.4 (1000)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Forest Hills, NY","N/A","(718) 480-6446"
"Fontana, California 92336","CompuCell / Fox PC Custom Gaming PC Builder + Computer Laptop PC Apple MacBook iPhone iPad Repair","4.9 (1800)","[Screen Repair, Custom PCs, Apple Repair]","Fast Service","Fontana, CA","N/A","(909) 365-3677"
"Fontana, California 92336","Cellphone Repair","4.8 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Rialto, CA","N/A","(909) 875-9185"
"Fontana, California 92336","iRepair Wireless","4.7 (938)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fair Price","Rialto, CA","N/A","(909) 258-3021"
"Fontana, California 92336","iFx4u","4.6 (541)","[Screen Repair, iPhone Repair, Smartphone Repair]","Fast Service","Fontana, CA","N/A","(909) 829-1288"
"Fontana, California 92336","Repair iT","4.5 (327)","[Screen Repair, iPhone Repair, Fast Repairs]","Fast Service","Fontana, CA","N/A","(909) 977-4003"
"Brooklyn, New York 11208","David Quick Repair","5 (494)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Service","Brooklyn, NY","N/A","(917) 717-3851"
"Brooklyn, New York 11208","251 schenectady wireless inc","5 (418)","[Screen Repair, Samsung Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(347) 789-1578"
"Brooklyn, New York 11208","SKY WIRELESS BD INC.","4.9 (309)","[iPhone Repair, Screen Repair, Fast Turnaround]","Fast Service","Brooklyn, NY","N/A","(718) 864-1771"
"Brooklyn, New York 11208","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Brooklyn, New York 11208","Ozo Geeks - Mobile Laptop & Macbook Repair Service Store","4.6 (586)","[Screen Repair, Laptop Repair, Macbook Repair]","Fast Service","Brooklyn, NY","N/A","(347) 338-2589"
"Antioch, Tennessee 37013","twireless","5 (380)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Nashville, TN","N/A","(615) 609-3975"
"Antioch, Tennessee 37013","uBreakiFix - Phone and Computer Repair","4.8 (811)","[Screen Repair, Battery Replacement, Back Glass Repair]","Reliable Repairs","Nashville, TN","N/A","(629) 702-7902"
"Antioch, Tennessee 37013","CarTronics","4.8 (368)","[Diagnostics, Electrical Repair, General Repair]","Trustworthy Service","Antioch, TN","N/A","(615) 731-2100"
"Antioch, Tennessee 37013","uBreakiFix - Phone and Computer Repair","4.5 (416)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast Service","Nashville, TN","N/A","(615) 750-8601"
"New Braunfels, Texas 78130","Cellairis (#1 Certified Phone Repairs in Walmart New braunfels) iPhone, IPad, Tablets, Laptops, PC and Gaming Consoles","4.9 (1500)","[Screen Repair, Battery Replacement, iPhone Repair]","Great Value","New Braunfels, TX","N/A","(210) 573-1877"
"New Braunfels, Texas 78130","CPR Cell Phone Repair","4.8 (535)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","New Braunfels, TX","N/A","(830) 214-0581"
"New Braunfels, Texas 78130","CPR Cell Phone Repair","4.7 (1100)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","San Antonio, TX","N/A","(210) 788-8373"
"New Braunfels, Texas 78130","uBreakiFix - Phone and Computer Repair","4.5 (685)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","New Braunfels, TX","N/A","(830) 627-4207"
"New Braunfels, Texas 78130","Andy's Repairs","4.5 (309)","[Blade Sharpening, Carburetor Repair, Engine Tune-Up]","Quick Repairs","New Braunfels, TX","N/A","(830) 620-6430"
"El Paso, Texas 79936","Talk N' Fix - N Zaragoza Rd ( Inside Walmart)","4.9 (1300)","[Battery Replacement, Screen Repair, iPhone Repair]","Quick Fixes","El Paso, TX","N/A","(945) 544-7337"
"El Paso, Texas 79936","AG Cellular Repair Center LLC","4.9 (479)","[Screen Repair, Phone Repair, Quick Turnaround]","Fast Service","El Paso, TX","N/A","N/A"
"El Paso, Texas 79936","Smartphone Solutions - Phone Repair El Paso","4.9 (1000)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","El Paso, TX","N/A","(915) 219-8440"
"El Paso, Texas 79936","iPhone Xpress","4.9 (586)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","El Paso, TX","N/A","(915) 474-5400"
"El Paso, Texas 79936","Cell phone repair ,Samsung IPhone El Paso","4.7 (364)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick Fixes","El Paso, TX","N/A","(915) 228-1351"
"Ridgewood, New York 11385","icanfixit","5 (317)","[Screen Repair, Battery Replacement, Water Damage]","Quick Fixes","Glendale, NY","N/A","(347) 500-6666"
"Ridgewood, New York 11385","Fast Fix Phones LLC","4.9 (460)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Ridgewood, NY","N/A","(860) 840-0239"
"Ridgewood, New York 11385","Phone repair Luigy wireless corp # 2","4.8 (333)","[Screen Repair, Battery Replacement, Phone Diagnosis]","Quick Fixes","Brooklyn, NY","N/A","(934) 444-6921"
"Ridgewood, New York 11385","Mac & PC Wireless","4.7 (320)","[Rapid Repair, Hardware Fix, Software Support]","Quick Turnaround","Ridgewood, NY","N/A","(718) 802-8172"
"Ridgewood, New York 11385","iFIX NYC - MacBook Phone Gaming Console and Tablet Repair","4.6 (459)","[Screen Repair, Battery Replacement, Console Repair]","Fast Service","Brooklyn, NY","N/A","(718) 576-6777"
"Lawrenceville, Georgia 30044","Cellgeon - Your Electronic Surgeon's","5 (316)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Lawrenceville, GA","N/A","(470) 435-2660"
"Lawrenceville, Georgia 30044","TECHY Lilburn - Buy/Device Repair/Sell - Inside Walmart","5 (3300)","[Back Glass Repair, Battery Replacement, iPhone Repair]","Fast Service","Lilburn, GA","N/A","(770) 899-8281"
"Lawrenceville, Georgia 30044","Cellairis cellphone Phone Store Inside Walmart - Lawrenceville","4.9 (1300)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","Lawrenceville, GA","N/A","(470) 776-7665"
"Lawrenceville, Georgia 30044","Phoneaholics Cell Phone Repair, Parts and Accessories","4.9 (1400)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Norcross, GA","N/A","(404) 397-2273"
"Lawrenceville, Georgia 30044","uBreakiFix - Phone and Computer Repair","4.8 (1700)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Lawrenceville, GA","N/A","(770) 261-8569"
"Winter Garden, Florida 34787","YourMac.Repair","5 (542)","[Screen Repair, Data Recovery, Virus Removal]","Highly Recommended","Winter Garden, FL","N/A","(407) 580-9965"
"Winter Garden, Florida 34787","uBreakiFix - Phone and Computer Repair","4.9 (1400)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Windermere, FL","N/A","(407) 777-4410"
"Winter Garden, Florida 34787","Techy Ocoee: Phone Repair Service Inside Ocoee Walmart","4.9 (415)","[Screen Repair, Battery Replacement, Diagnostic Repair]","Reliable Service","Ocoee, FL","N/A","(407) 448-7515"
"Winter Garden, Florida 34787","iTech Repair Solutions","4.8 (448)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Winter Garden, FL","N/A","(407) 347-7894"
"Winter Garden, Florida 34787","uBreakiFix - Phone and Computer Repair","4.8 (1600)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Ocoee, FL","N/A","(321) 270-0600"
"Pittsburg, California 94565","Phone / Computer / Game Console Repair - QuickFix","4.8 (496)","[Screen Repair, Battery Replacement, Game Console Repair]","Fast Service","Pittsburg, CA","N/A","(925) 436-3083"
"Pittsburg, California 94565","uBreakiFix - Phone and Computer Repair","4.6 (690)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Antioch, CA","N/A","(925) 755-4444"
"Los Angeles, California 90011","Sunset iPhone Screen Repair Los Angeles","5 (1000)","[Screen Repair, Battery Replacement, iPhone Repair]","Quick Fixes","West Hollywood, CA","N/A","(310) 855-2665"
"Los Angeles, California 90011","CPR Cell Phone Repair","5 (2100)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","3476 Whittier Blvd Ste 109","N/A","(323) 354-4050"
"Los Angeles, California 90011","Mobile City CHEAPEST PHONE REPAIR","4.9 (460)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Turnaround","1612 W Washington Blvd","N/A","(323) 284-4844"
"Los Angeles, California 90011","CL Cellular","4.9 (385)","[Screen Repair, Battery Replacement, Diagnostic Testing]","Fast Service","6125 S Broadway","N/A","(323) 393-9917"
"Los Angeles, California 90011","Broken We Can Fix It - 20 Min iPhone Repair At Farmers Market","4.9 (1000)","[Screen Repair, Battery Replacement, Fast Repair]","Quick Fix","6333 W 3rd St","N/A","(310) 806-2620"
"Norwalk, California 90650","Sunset iPhone Screen Repair Los Angeles","5 (1000)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","West Hollywood, CA","N/A","(310) 855-2665"
"Norwalk, California 90650","uBreakiFix - Phone and Computer Repair","4.9 (652)","[Screen Repair, Phone Repair, Cracked Screen]","Fast Service","10932 Magnolia Blvd B116B","N/A","(818) 358-3129"
"Norwalk, California 90650","uBreakiFix - Phone and Computer Repair","4.7 (1000)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Turnaround","Norwalk, CT","N/A","(203) 523-0990"
"Leander, Texas 78641","uBreakiFix - Phone and Computer Repair","4.6 (1600)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Cedar Park, TX","N/A","(512) 456-7156"
"El Paso, Texas 79938","Smartphone Solutions - Phone Repair El Paso","4.9 (1000)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","El Paso, TX","N/A","(915) 219-8440"
"El Paso, Texas 79938","AG Cellular Repair Center LLC","4.9 (479)","[Screen Repair, Phone Repair, Quick Turnaround]","Fast Service","El Paso, TX","N/A","N/A"
"El Paso, Texas 79938","Talk N' Fix - N Zaragoza Rd ( Inside Walmart)","4.9 (1300)","[Battery Replacement, Screen Repair, iPhone Repair]","Quick Fixes","El Paso, TX","N/A","(945) 544-7337"
"El Paso, Texas 79938","iPhone Xpress","4.9 (586)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","El Paso, TX","N/A","(915) 474-5400"
"El Paso, Texas 79938","CPR Cell Phone Repair","4.8 (432)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","El Paso, TX","N/A","(915) 221-2075"
"Elmhurst, New York 11373","Namaste Wireless","5 (604)","[Phone Sales, Repair Services, Accessory Sales]","Trustworthy Service","Jackson Heights, NY","N/A","(347) 806-1533"
